"row","col","results22","results23","results24","results25","results32","results33","results34","results35","results42","results43","results44","results45","results52","results53","results54","results55"
2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.2,0.0548970960627709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.2,0.0610502301283237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.2,0.0671321086438743,0.0534310970983258,0,0,0.0534310970983258,0,0,0,0,0,0,0,0,0,0,0
8,0.2,0.0728871547790011,0.0575696812117116,0,0,0.0575696812117116,0,0,0,0,0,0,0,0,0,0,0
9,0.2,0.0783894719010212,0.0617477369620753,0.0529409664334038,0,0.0617477369620753,0,0,0,0.0529409664334038,0,0,0,0,0,0,0
10,0.2,0.0837219267034563,0.0657708824492226,0.0563658948708632,0,0.0657708824492226,0.0524545657827687,0,0,0.0563658948708632,0,0,0,0,0,0,0
11,0.2,0.0889416468871703,0.0696470204509978,0.059808357070337,0.0526956540108014,0.0696470204509978,0.0552772860085297,0,0,0.059808357070337,0,0,0,0.0526956540108014,0,0,0
12,0.2,0.094085692111833,0.0734134689779617,0.0631280756559865,0.0557555832423699,0.0734134689779617,0.058123657071081,0,0,0.0631280756559865,0,0,0,0.0557555832423699,0,0,0
13,0.2,0.0991782366581132,0.0771028845677455,0.0663276745248295,0.0588069307618822,0.0771028845677455,0.0608882307772364,0.052128637660272,0,0.0663276745248295,0.052128637660272,0,0,0.0588069307618822,0,0,0
14,0.2,0.104235366539522,0.0807395280792768,0.0694337946931957,0.061742165402625,0.0807395280792768,0.0635693764826041,0.0544986610258104,0,0.0694337946931957,0.0544986610258104,0,0,0.061742165402625,0,0,0
15,0.2,0.109268014057356,0.0843408106466683,0.0724715477430176,0.0645660598764094,0.0843408106466683,0.0661841456640909,0.0568585383216033,0,0.0724715477430176,0.0568585383216033,0,0,0.0645660598764094,0,0,0
16,0.2,0.114283746017677,0.0879192096907067,0.0754606273029186,0.0673019408560276,0.0879192096907067,0.0687496542592774,0.0591400437339052,0.0519655941351178,0.0754606273029186,0.0591400437339052,0,0,0.0673019408560276,0.0519655941351178,0,0
17,0.2,0.119287872580938,0.0914837436518051,0.0784158172485215,0.0699718028636199,0.0914837436518051,0.0712798263879391,0.0613474084745476,0.0541065886135312,0.0784158172485215,0.0613474084745476,0.0518574452346207,0,0.0699718028636199,0.0541065886135312,0,0
